instance_id,instance_type,name_tag,availability_zone
i-0a1b2c3d4e5f67890,t3.medium,web-server-01,us-east-1a
i-0b2c3d4e5f6789012,t3.large,api-server-01,us-east-1b
i-0c3d4e5f67890123a,m5.xlarge,db-primary-01,us-east-1a
i-0d4e5f678901234ab,m5.large,db-replica-01,us-east-1b
i-0e5f6789012345abc,t3.small,bastion-01,us-east-1a
i-0f67890123456abcd,c5.xlarge,worker-01,us-west-2a
i-0a789012345678bcd,c5.xlarge,worker-02,us-west-2b
i-0b8901234567890cd,t3.medium,web-server-02,us-west-2a
i-0c90123456789abce,r5.large,cache-01,us-east-1a
i-0d012345678901def,t3.micro,monitoring-01,eu-west-1a
i-0e12345678901efab,t3.small,jenkins-01,us-east-1a
i-0f2345678901fabcd,m5.2xlarge,analytics-01,us-west-2a
i-0a3456789012abcde,t3.nano,nat-gateway-01,us-east-1a
i-0b456789012bcdef0,t3.medium,app-server-01,eu-west-1b
i-0c56789012cdef012,g4dn.xlarge,ml-training-01,us-west-2a
