instance_id,instance_type,name_tag,private_ip,public_ip,availability_zone,image_id,vpc_id,subnet_id,sg_id,sg_name
i-0a1b2c3d4e5f67890,t3.medium,web-server-01,10.0.1.10,54.210.45.12,us-east-1a,ami-0abcdef1234567890,vpc-0a1b2c3d4e5f67890,subnet-0a1b2c3d4e5f6789,sg-0a1b2c3d4e5f6789,web-tier-sg
i-0b2c3d4e5f6789012,t3.large,api-server-01,10.0.1.20,54.210.45.13,us-east-1b,ami-0abcdef1234567890,vpc-0a1b2c3d4e5f67890,subnet-0b2c3d4e5f678901,sg-0b2c3d4e5f678901,api-tier-sg
i-0c3d4e5f67890123a,m5.xlarge,db-primary-01,10.0.2.10,,us-east-1a,ami-0abcdef1234567890,vpc-0a1b2c3d4e5f67890,subnet-0c3d4e5f6789012a,sg-0c3d4e5f6789012a,db-tier-sg
i-0d4e5f678901234ab,m5.large,db-replica-01,10.0.2.20,,us-east-1b,ami-0abcdef1234567890,vpc-0a1b2c3d4e5f67890,subnet-0d4e5f678901234a,sg-0c3d4e5f6789012a,db-tier-sg
i-0e5f6789012345abc,t3.small,bastion-01,10.0.0.5,54.210.45.14,us-east-1a,ami-0abcdef1234567890,vpc-0a1b2c3d4e5f67890,subnet-0e5f6789012345ab,sg-0e5f6789012345ab,bastion-sg
i-0f67890123456abcd,c5.xlarge,worker-01,10.0.3.10,,us-west-2a,ami-0fedcba9876543210,vpc-0f67890123456abcd,subnet-0f67890123456abc,sg-0f67890123456abc,worker-sg
i-0a789012345678bcd,c5.xlarge,worker-02,10.0.3.20,,us-west-2b,ami-0fedcba9876543210,vpc-0f67890123456abcd,subnet-0a78901234567bcd,sg-0f67890123456abc,worker-sg
i-0b8901234567890cd,t3.medium,web-server-02,10.0.1.30,54.210.45.15,us-west-2a,ami-0fedcba9876543210,vpc-0f67890123456abcd,subnet-0b890123456789cd,sg-0b890123456789cd,web-tier-sg
i-0c90123456789abce,r5.large,cache-01,10.0.4.10,,us-east-1a,ami-0abcdef1234567890,vpc-0a1b2c3d4e5f67890,subnet-0c90123456789abc,sg-0c90123456789abc,cache-sg
i-0d012345678901def,t3.micro,monitoring-01,10.0.5.10,52.17.45.20,eu-west-1a,ami-0aabbccdd1122334,vpc-0d012345678901def,subnet-0d012345678901de,sg-0d012345678901de,monitoring-sg
i-0e12345678901efab,t3.small,jenkins-01,10.0.5.20,52.17.45.21,us-east-1a,ami-0abcdef1234567890,vpc-0a1b2c3d4e5f67890,subnet-0e12345678901efa,sg-0e12345678901efa,cicd-sg
i-0f2345678901fabcd,m5.2xlarge,analytics-01,10.0.6.10,,us-west-2a,ami-0fedcba9876543210,vpc-0f67890123456abcd,subnet-0f2345678901fabc,sg-0f2345678901fabc,analytics-sg
i-0a3456789012abcde,t3.nano,nat-gateway-01,10.0.0.6,54.210.45.16,us-east-1a,ami-0abcdef1234567890,vpc-0a1b2c3d4e5f67890,subnet-0a3456789012abcd,sg-0a3456789012abcd,nat-sg
i-0b456789012bcdef0,t3.medium,app-server-01,10.0.1.40,52.17.45.22,eu-west-1b,ami-0aabbccdd1122334,vpc-0d012345678901def,subnet-0b456789012bcdef,sg-0b456789012bcdef,app-tier-sg
i-0c56789012cdef012,g4dn.xlarge,ml-training-01,10.0.7.10,,us-west-2a,ami-0fedcba9876543210,vpc-0f67890123456abcd,subnet-0c56789012cdef01,sg-0c56789012cdef01,ml-sg
