eni_id,subnet_id,vpc_id,instance_id,eni_type,subnet_cidr,description
eni-0a1b2c3d4e5f60001,subnet-0aaa1111,vpc-0abc1234,i-0a1b2c3d4e5f6001,ec2,10.0.1.0/24,web-server-01
eni-0a1b2c3d4e5f60002,subnet-0aaa1111,vpc-0abc1234,i-0a1b2c3d4e5f6002,ec2,10.0.1.0/24,web-server-02
eni-0a1b2c3d4e5f60003,subnet-0aaa2222,vpc-0abc1234,i-0a1b2c3d4e5f6003,ec2,10.0.2.0/24,app-server-01
eni-0a1b2c3d4e5f60004,subnet-0aaa2222,vpc-0abc1234,i-0a1b2c3d4e5f6004,ec2,10.0.2.0/24,app-server-02
eni-0a1b2c3d4e5f60005,subnet-0aaa3333,vpc-0abc1234,i-0a1b2c3d4e5f6005,ec2,10.0.3.0/24,db-primary
eni-0a1b2c3d4e5f60006,subnet-0aaa3333,vpc-0abc1234,i-0a1b2c3d4e5f6006,ec2,10.0.3.0/24,db-replica
eni-0a1b2c3d4e5f60007,subnet-0aaa4444,vpc-0abc1234,-,nat_gateway,10.0.4.0/24,nat-gw-public
eni-0a1b2c3d4e5f60008,subnet-0aaa5555,vpc-0abc1234,-,gateway_load_balancer,10.0.5.0/24,alb-frontend
eni-0a1b2c3d4e5f60009,subnet-0bbb1111,vpc-0def5678,i-0a1b2c3d4e5f6009,ec2,10.1.1.0/24,staging-web-01
eni-0a1b2c3d4e5f60010,subnet-0bbb2222,vpc-0def5678,i-0a1b2c3d4e5f6010,ec2,10.1.2.0/24,staging-app-01
eni-0a1b2c3d4e5f60011,subnet-0bbb3333,vpc-0def5678,i-0a1b2c3d4e5f6011,ec2,10.1.3.0/24,staging-db-01
eni-0a1b2c3d4e5f60012,subnet-0ccc1111,vpc-0ghi9012,i-0a1b2c3d4e5f6012,ec2,10.2.1.0/24,dev-server-01
eni-0a1b2c3d4e5f60013,subnet-0ccc2222,vpc-0ghi9012,i-0a1b2c3d4e5f6013,ec2,10.2.2.0/24,dev-server-02
eni-0a1b2c3d4e5f60014,subnet-0aaa1111,vpc-0abc1234,-,lambda,10.0.1.0/24,lambda-api-handler
eni-0a1b2c3d4e5f60015,subnet-0aaa2222,vpc-0abc1234,-,ecs,10.0.2.0/24,ecs-task-worker
