ip,location,type
198.51.100.10,New York Office,corporate
198.51.100.11,New York Office,corporate
198.51.100.25,San Francisco Office,corporate
198.51.100.26,San Francisco Office,corporate
203.0.113.50,London Office,corporate
203.0.113.51,London Office,corporate
192.0.2.100,VPN Gateway US,vpn
192.0.2.101,VPN Gateway EU,vpn
198.51.100.80,Outlook Mobile,mobile
198.51.100.81,Outlook Mobile,mobile
203.0.113.120,Partner Network,partner
192.0.2.50,Home Office 1,remote
192.0.2.51,Home Office 2,remote
192.0.2.52,Home Office 3,remote
203.0.113.200,Azure Data Center,service
