hostname,agent_id,local_ip,mac_address,machine_domain,os_platform,host_groups
DESKTOP-HR01,a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6,10.1.10.21,00:50:56:8a:12:34,CORP.ACME.COM,Windows,workstations-hr
DESKTOP-FIN02,b2c3d4e5f6a7b8c9d0e1f2a3b4c5d7,10.1.10.35,00:50:56:8a:23:45,CORP.ACME.COM,Windows,workstations-finance
DESKTOP-DEV03,c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7,10.1.20.14,00:50:56:8a:34:56,CORP.ACME.COM,Windows,workstations-dev
DESKTOP-ENG04,d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8,10.1.20.28,00:50:56:8a:45:67,CORP.ACME.COM,Windows,workstations-engineering
DESKTOP-MKT05,e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9,10.1.10.42,00:50:56:8a:56:78,CORP.ACME.COM,Windows,workstations-marketing
SRV-DC01,f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0,10.1.1.10,00:50:56:8a:67:89,CORP.ACME.COM,Windows,servers-dc
SRV-DC02,a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1,10.1.1.11,00:50:56:8a:78:9a,CORP.ACME.COM,Windows,servers-dc
SRV-WEB01,b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2,10.1.2.20,00:50:56:8a:89:ab,CORP.ACME.COM,Windows,servers-web
SRV-WEB02,c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3,10.1.2.21,00:50:56:8a:9a:bc,CORP.ACME.COM,Windows,servers-web
SRV-DB01,d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4,10.1.3.10,00:50:56:8a:ab:cd,CORP.ACME.COM,Windows,servers-db
SRV-APP01,e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5,10.1.4.15,00:50:56:8a:bc:de,CORP.ACME.COM,Windows,servers-app
SRV-APP02,f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6,10.1.4.16,00:50:56:8a:cd:ef,CORP.ACME.COM,Windows,servers-app
SRV-FILE01,a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7,10.1.5.10,00:50:56:8a:de:f0,CORP.ACME.COM,Windows,servers-file
LAPTOP-EXEC01,b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8,10.1.30.5,00:50:56:8a:ef:01,CORP.ACME.COM,Windows,laptops-exec
LAPTOP-EXEC02,c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9,10.1.30.8,00:50:56:8a:f0:12,CORP.ACME.COM,Windows,laptops-exec
DESKTOP-IT06,d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0,10.1.20.50,00:50:56:8a:01:23,CORP.ACME.COM,Windows,workstations-it
SRV-EXCH01,e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1,10.1.6.10,00:50:56:8a:12:ab,CORP.ACME.COM,Windows,servers-mail
DESKTOP-SEC07,f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2,10.1.20.55,00:50:56:8a:23:bc,CORP.ACME.COM,Windows,workstations-security
SRV-SIEM01,a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3,10.1.7.10,00:50:56:8a:34:cd,CORP.ACME.COM,Windows,servers-siem
DESKTOP-OPS08,b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4,10.1.10.60,00:50:56:8a:45:de,CORP.ACME.COM,Windows,workstations-ops
