login_name,login_type,domain,principal_id,weight,app_name
sa,sql,,1,2,Microsoft SQL Server Management Studio
api_service,sql,,264,25,.Net SqlClient Data Provider
web_api,sql,,265,20,.Net SqlClient Data Provider
svc_reporting,sql,,266,10,Report Server
etl_user,sql,,267,8,SSIS-Package
app_readonly,sql,,268,5,.Net SqlClient Data Provider
admin.jsmith,windows,CONTOSO,269,5,Microsoft SQL Server Management Studio
admin.mchen,windows,CONTOSO,270,3,Microsoft SQL Server Management Studio
dev.agarcia,windows,CONTOSO,271,4,Microsoft SQL Server Management Studio
svc_webapp,windows,CONTOSO,272,8,.Net SqlClient Data Provider
svc_etl,windows,CONTOSO,273,5,SSIS-Package
svc_scheduler,windows,CONTOSO,274,3,SQLAgent - TSQL JobStep
dba_ops,sql,,275,2,SQLCMD
