username,host,auth_plugin,weight,app_name
root,localhost,caching_sha2_password,3,mysql
app_service,10.2.%,caching_sha2_password,25,myapp-backend
web_api,10.2.%,caching_sha2_password,20,webapp-api
report_user,10.2.%,caching_sha2_password,10,jasperreports
etl_loader,10.2.%,caching_sha2_password,8,pentaho-di
readonly_user,10.2.%,caching_sha2_password,5,dbeaver
admin_jsmith,10.2.%,caching_sha2_password,5,mysql-workbench
admin_mchen,10.2.%,caching_sha2_password,3,mysql-workbench
dev_agarcia,10.2.%,caching_sha2_password,4,datagrip
svc_backup,localhost,caching_sha2_password,6,xtrabackup
svc_monitor,localhost,caching_sha2_password,8,prometheus-mysqld-exporter
repl_user,10.2.4.%,caching_sha2_password,3,mysql-replication
