username,userhost,os_username,program,workload
APP_READ,app01.corp.example,svc_app,JDBC Thin Client,reporting
APP_READ,app02.corp.example,svc_app,JDBC Thin Client,reporting
APP_READ,app03.corp.example,svc_app,JDBC Thin Client,reporting
APP_READ,app04.corp.example,svc_app,JDBC Thin Client,reporting
APP_READ,app05.corp.example,svc_app,JDBC Thin Client,reporting
APP_READ,app06.corp.example,svc_app,JDBC Thin Client,reporting
APP_READ,app07.corp.example,svc_app,JDBC Thin Client,reporting
APP_READ,app08.corp.example,svc_app,JDBC Thin Client,reporting
APP_READ,app09.corp.example,svc_app,JDBC Thin Client,reporting
APP_READ,app10.corp.example,svc_app,JDBC Thin Client,reporting
APP_READ,app11.corp.example,svc_app,JDBC Thin Client,reporting
APP_READ,app12.corp.example,svc_app,JDBC Thin Client,reporting
BI_APP,bi01.corp.example,svc_bi,JDBC Thin Client,reporting
BI_APP,bi02.corp.example,svc_bi,JDBC Thin Client,reporting
BI_APP,bi03.corp.example,svc_bi,JDBC Thin Client,reporting
BI_APP,bi04.corp.example,svc_bi,JDBC Thin Client,reporting
BI_APP,bi05.corp.example,svc_bi,JDBC Thin Client,reporting
BI_APP,bi06.corp.example,svc_bi,JDBC Thin Client,reporting
BI_APP,bi07.corp.example,svc_bi,JDBC Thin Client,reporting
BI_APP,bi08.corp.example,svc_bi,JDBC Thin Client,reporting
HR_APP,hr01.corp.example,svc_hr,JDBC Thin Client,hr
HR_APP,hr02.corp.example,svc_hr,JDBC Thin Client,hr
HR_APP,hr03.corp.example,svc_hr,JDBC Thin Client,hr
HR_APP,hr04.corp.example,svc_hr,JDBC Thin Client,hr
HR_APP,hr05.corp.example,svc_hr,JDBC Thin Client,hr
HR_APP,hr06.corp.example,svc_hr,JDBC Thin Client,hr
HR_APP,hr07.corp.example,svc_hr,JDBC Thin Client,hr
HR_APP,hr08.corp.example,svc_hr,JDBC Thin Client,hr
HR_APP,hr09.corp.example,svc_hr,JDBC Thin Client,hr
HR_APP,hr10.corp.example,svc_hr,JDBC Thin Client,hr
ETL_APP,batch01.corp.example,svc_etl,JDBC Thin Client,hr
ETL_APP,batch02.corp.example,svc_etl,JDBC Thin Client,hr
ETL_APP,batch03.corp.example,svc_etl,JDBC Thin Client,hr
ETL_APP,batch04.corp.example,svc_etl,JDBC Thin Client,hr
ETL_APP,batch05.corp.example,svc_etl,JDBC Thin Client,hr
ETL_APP,batch06.corp.example,svc_etl,JDBC Thin Client,hr
ETL_APP,batch07.corp.example,svc_etl,JDBC Thin Client,hr
ETL_APP,batch08.corp.example,svc_etl,JDBC Thin Client,hr
