app_user,department,weight
FI0042,finance,90
FI0117,finance,70
FI0233,finance,45
FI0308,finance,38
FI0411,finance,30
FI0526,finance,22
CO0018,controlling,40
CO0073,controlling,33
CO0154,controlling,25
CO0219,controlling,16
HR0031,hr,25
HR0119,hr,18
HR0204,hr,14
HR0288,hr,9
MM0206,materials,55
MM0317,materials,44
MM0428,materials,36
MM0533,materials,28
MM0641,materials,20
SD0074,sales,60
SD0188,sales,42
SD0295,sales,38
SD0361,sales,31
SD0447,sales,24
SD0552,sales,18
PP0022,production,30
PP0137,production,26
PP0248,production,21
PP0359,production,15
QM0009,quality,15
QM0116,quality,12
QM0227,quality,8
PM0044,maintenance,18
PM0151,maintenance,13
PM0262,maintenance,9
WM0037,warehouse,22
WM0148,warehouse,17
WM0259,warehouse,12
BC0003,basis,20
BC0011,basis,15
BC0027,basis,10
J.HARPER,finance,28
M.OKONKWO,sales,24
L.SVENSSON,controlling,20
T.NAKAMURA,materials,17
A.PETROVA,hr,12
R.DIALLO,basis,14
K.MERCIER,finance,19
S.BRANDT,sales,16
D.ROSSI,production,13
N.HAUGEN,quality,10
P.LINDQVIST,controlling,15
E.KOWALSKI,warehouse,11
G.FERREIRA,materials,14
H.VANDERBERG,maintenance,9
I.SZABO,basis,8
O.KIRWAN,sales,12
V.MARCHETTI,finance,13
Y.TANAKA,production,10
Z.ADEBAYO,warehouse,7
BATCHUSER,batch,65
WF-BATCH,batch,50
RFC_BW,batch,34
RFC_SLT,batch,26
