hostname,ip,mac,os,os_version,domain,department,confidentiality_level
DESKTOP-HR01,10.1.10.21,00:50:56:8a:12:34,Windows 10,10.0.19045,CORP.ACME.COM,HR,Конфиденциально
DESKTOP-FIN02,10.1.10.35,00:50:56:8a:23:45,Windows 10,10.0.19045,CORP.ACME.COM,Finance,Строго конфиденциально
DESKTOP-DEV03,10.1.20.14,00:50:56:8a:34:56,Windows 11,10.0.22631,CORP.ACME.COM,Development,Конфиденциально
DESKTOP-ENG04,10.1.20.28,00:50:56:8a:45:67,Windows 11,10.0.22631,CORP.ACME.COM,Engineering,Конфиденциально
DESKTOP-MKT05,10.1.10.42,00:50:56:8a:56:78,Windows 10,10.0.19045,CORP.ACME.COM,Marketing,Несекретно
SRV-DC01,10.1.1.10,00:50:56:8a:67:89,Windows Server 2022,10.0.20348,CORP.ACME.COM,IT,Строго конфиденциально
SRV-DC02,10.1.1.11,00:50:56:8a:78:9a,Windows Server 2022,10.0.20348,CORP.ACME.COM,IT,Строго конфиденциально
SRV-FILE01,10.1.5.10,00:50:56:8a:89:ab,Windows Server 2022,10.0.20348,CORP.ACME.COM,IT,Строго конфиденциально
SRV-DB01,10.1.3.10,00:50:56:8a:9a:bc,Windows Server 2022,10.0.20348,CORP.ACME.COM,IT,Строго конфиденциально
SRV-APP01,10.1.4.15,00:50:56:8a:ab:cd,Windows Server 2022,10.0.20348,CORP.ACME.COM,IT,Конфиденциально
LAPTOP-EXEC01,10.1.30.5,00:50:56:8a:bc:de,Windows 11,10.0.22631,CORP.ACME.COM,Management,Строго конфиденциально
LAPTOP-SALES01,10.1.30.12,00:50:56:8a:cd:ef,Windows 11,10.0.22631,CORP.ACME.COM,Sales,Конфиденциально
DESKTOP-IT06,10.1.20.50,00:50:56:8a:de:f0,Windows 11,10.0.22631,CORP.ACME.COM,IT,Конфиденциально
DESKTOP-SEC07,10.1.20.55,00:50:56:8a:ef:01,Windows 11,10.0.22631,CORP.ACME.COM,Security,Строго конфиденциально
DESKTOP-OPS08,10.1.10.60,00:50:56:8a:f0:12,Windows 10,10.0.19045,CORP.ACME.COM,Operations,Несекретно
SRV-PRINT01,10.1.5.20,00:50:56:8a:01:23,Windows Server 2019,10.0.17763,CORP.ACME.COM,IT,Несекретно
DESKTOP-ACC09,10.1.10.70,00:50:56:8a:12:ab,Windows 10,10.0.19045,CORP.ACME.COM,Accounting,Строго конфиденциально
LAPTOP-HR02,10.1.30.18,00:50:56:8a:23:bc,Windows 11,10.0.22631,CORP.ACME.COM,HR,Конфиденциально
SRV-BACKUP01,10.1.7.10,00:50:56:8a:34:cd,Windows Server 2022,10.0.20348,CORP.ACME.COM,IT,Строго конфиденциально
DESKTOP-LEG10,10.1.10.80,00:50:56:8a:45:de,Windows 10,10.0.19045,CORP.ACME.COM,Legal,Строго конфиденциально
