ip,hostname,mac,subnet,role
10.1.1.10,WS-HR-01,02:42:0a:01:01:0a,workstations,workstation
10.1.1.15,WS-HR-02,02:42:0a:01:01:0f,workstations,workstation
10.1.1.20,WS-FIN-01,02:42:0a:01:01:14,workstations,workstation
10.1.1.25,WS-FIN-02,02:42:0a:01:01:19,workstations,workstation
10.1.1.30,WS-DEV-01,02:42:0a:01:01:1e,workstations,workstation
10.1.1.35,WS-DEV-02,02:42:0a:01:01:23,workstations,workstation
10.1.1.40,WS-MKT-01,02:42:0a:01:01:28,workstations,workstation
10.1.1.45,WS-OPS-01,02:42:0a:01:01:2d,workstations,workstation
10.1.1.50,WS-EXEC-01,02:42:0a:01:01:32,workstations,workstation
10.1.1.55,WS-IT-01,02:42:0a:01:01:37,workstations,workstation
10.1.2.10,SRV-DC-01,02:42:0a:01:02:0a,servers,domain_controller
10.1.2.15,SRV-DC-02,02:42:0a:01:02:0f,servers,domain_controller
10.1.2.20,SRV-WEB-01,02:42:0a:01:02:14,servers,web_server
10.1.2.25,SRV-DB-01,02:42:0a:01:02:19,servers,database
10.1.2.30,SRV-MAIL-01,02:42:0a:01:02:1e,servers,mail_server
10.1.2.35,SRV-FILE-01,02:42:0a:01:02:23,servers,file_server
10.1.2.40,SRV-APP-01,02:42:0a:01:02:28,servers,app_server
10.1.2.45,SRV-DNS-01,02:42:0a:01:02:2d,servers,dns_server
10.1.2.50,SRV-PROXY-01,02:42:0a:01:02:32,servers,proxy
10.1.2.55,SRV-LOG-01,02:42:0a:01:02:37,servers,log_server
172.16.1.10,DMZ-WEB-01,02:42:ac:10:01:0a,dmz,web_server
172.16.1.15,DMZ-WEB-02,02:42:ac:10:01:0f,dmz,web_server
172.16.1.20,DMZ-MAIL-01,02:42:ac:10:01:14,dmz,mail_server
172.16.1.25,DMZ-VPN-01,02:42:ac:10:01:19,dmz,vpn_gateway
172.16.1.30,DMZ-PROXY-01,02:42:ac:10:01:1e,dmz,reverse_proxy
