ip,hostname,mac,subnet,role,interface
10.1.1.10,ws-hr-01,00:1a:2b:3c:4d:01,workstations,workstation,inside
10.1.1.11,ws-hr-02,00:1a:2b:3c:4d:02,workstations,workstation,inside
10.1.1.20,ws-fin-01,00:1a:2b:3c:4d:03,workstations,workstation,inside
10.1.1.21,ws-fin-02,00:1a:2b:3c:4d:04,workstations,workstation,inside
10.1.1.30,ws-dev-01,00:1a:2b:3c:4d:05,workstations,workstation,inside
10.1.1.31,ws-dev-02,00:1a:2b:3c:4d:06,workstations,workstation,inside
10.1.1.32,ws-dev-03,00:1a:2b:3c:4d:07,workstations,workstation,inside
10.1.1.40,ws-mkt-01,00:1a:2b:3c:4d:08,workstations,workstation,inside
10.1.1.50,ws-exec-01,00:1a:2b:3c:4d:09,workstations,workstation,inside
10.1.1.51,ws-exec-02,00:1a:2b:3c:4d:0a,workstations,workstation,inside
10.1.2.10,srv-dc-01,00:1a:2b:3c:5d:01,servers,server,inside
10.1.2.11,srv-dc-02,00:1a:2b:3c:5d:02,servers,server,inside
10.1.2.20,srv-web-01,00:1a:2b:3c:5d:03,servers,server,inside
10.1.2.21,srv-web-02,00:1a:2b:3c:5d:04,servers,server,inside
10.1.2.30,srv-db-01,00:1a:2b:3c:5d:05,servers,server,inside
10.1.2.31,srv-db-02,00:1a:2b:3c:5d:06,servers,server,inside
10.1.2.40,srv-mail-01,00:1a:2b:3c:5d:07,servers,server,inside
10.1.2.50,srv-file-01,00:1a:2b:3c:5d:08,servers,server,inside
10.1.2.60,srv-app-01,00:1a:2b:3c:5d:09,servers,server,inside
10.1.2.70,srv-dns-01,00:1a:2b:3c:5d:0a,servers,server,inside
172.16.1.10,dmz-web-01,00:1a:2b:3c:6d:01,dmz,server,dmz
172.16.1.11,dmz-web-02,00:1a:2b:3c:6d:02,dmz,server,dmz
172.16.1.20,dmz-mail-01,00:1a:2b:3c:6d:03,dmz,server,dmz
172.16.1.30,dmz-vpn-01,00:1a:2b:3c:6d:04,dmz,server,dmz
172.16.1.40,dmz-proxy-01,00:1a:2b:3c:6d:05,dmz,server,dmz
