ip,hostname,mac,zone,role,os
10.1.1.10,ws-hr-01,a2:e9:00:ec:40:01,Trusted,workstation,Windows 10
10.1.1.11,ws-hr-02,a2:e9:00:ec:40:02,Trusted,workstation,Windows 10
10.1.1.20,ws-fin-01,a2:e9:00:ec:40:03,Trusted,workstation,Windows 11
10.1.1.21,ws-fin-02,a2:e9:00:ec:40:04,Trusted,workstation,Windows 10
10.1.1.30,ws-dev-01,a2:e9:00:ec:40:05,Trusted,workstation,Ubuntu
10.1.1.31,ws-dev-02,a2:e9:00:ec:40:06,Trusted,workstation,macOS
10.1.1.32,ws-dev-03,a2:e9:00:ec:40:07,Trusted,workstation,Linux
10.1.1.40,ws-mkt-01,a2:e9:00:ec:40:08,Trusted,workstation,Windows 11
10.1.1.50,ws-exec-01,a2:e9:00:ec:40:09,Trusted,workstation,macOS
10.1.1.51,ws-exec-02,a2:e9:00:ec:40:0a,Trusted,workstation,Windows 11
10.1.2.10,srv-dc-01,a2:e9:00:ec:50:01,Trusted,server,Windows Server 2022
10.1.2.11,srv-dc-02,a2:e9:00:ec:50:02,Trusted,server,Windows Server 2022
10.1.2.20,srv-web-01,a2:e9:00:ec:50:03,Trusted,server,Ubuntu
10.1.2.21,srv-web-02,a2:e9:00:ec:50:04,Trusted,server,Ubuntu
10.1.2.30,srv-db-01,a2:e9:00:ec:50:05,Trusted,server,Linux
10.1.2.31,srv-db-02,a2:e9:00:ec:50:06,Trusted,server,Linux
10.1.2.40,srv-mail-01,a2:e9:00:ec:50:07,Trusted,server,Linux
10.1.2.50,srv-file-01,a2:e9:00:ec:50:08,Trusted,server,Windows Server 2022
10.1.2.60,srv-app-01,a2:e9:00:ec:50:09,Trusted,server,Linux
10.1.2.70,srv-dns-01,a2:e9:00:ec:50:0a,Trusted,server,Linux
172.16.1.10,dmz-web-01,a2:e9:00:ec:60:01,DMZ,server,Linux
172.16.1.11,dmz-web-02,a2:e9:00:ec:60:02,DMZ,server,Linux
172.16.1.20,dmz-mail-01,a2:e9:00:ec:60:03,DMZ,server,Linux
172.16.1.30,dmz-vpn-01,a2:e9:00:ec:60:04,DMZ,server,Linux
172.16.1.40,dmz-proxy-01,a2:e9:00:ec:60:05,DMZ,server,Linux
