hostname,os_type,os_version,ip_prefix
WKS-MSK-001,Windows,Windows 11 Enterprise (Build 22631),10.10.1
WKS-MSK-002,Windows,Windows 10 Enterprise (Build 19045),10.10.1
WKS-MSK-003,Windows,Windows 11 Pro (Build 22631),10.10.1
WKS-MSK-004,Windows,Windows 11 Enterprise (Build 22621),10.10.1
WKS-SPB-001,Windows,Windows 11 Enterprise (Build 22631),10.10.2
WKS-SPB-002,Windows,Windows 10 Pro (Build 19045),10.10.2
WKS-SPB-003,Windows,Windows 11 Pro (Build 22621),10.10.2
WKS-NSK-001,Windows,Windows 10 Enterprise (Build 19045),10.10.3
WKS-NSK-002,Windows,Windows 11 Enterprise (Build 22631),10.10.3
WKS-KZN-001,Windows,Windows 11 Pro (Build 22631),10.10.4
WKS-KZN-002,Windows,Windows 10 Enterprise (Build 19045),10.10.4
WKS-MSK-LNX01,Linux,Ubuntu 22.04 LTS,10.10.1
