name,device_id,agent_id,os_platform,os_version,machine_group
wkstn-nyc001,8f6197c3de75a861b86dc3d49f805151aed7bc23,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Windows10,10.0.19045.3803,ProductionWorkstations
wkstn-nyc002,b2c8f4e6a1d3b5f7c9e1d3b5f7a9c1e3d5b7f9a1,b2c3d4e5-f6a7-8901-bcde-f12345678901,Windows10,10.0.19045.3803,ProductionWorkstations
laptop-exec001,a1831be5f097ca83da8fe5f6b1a273731af9de45,c3d4e5f6-a7b8-9012-cdef-123456789012,Windows11,10.0.22631.2861,ExecutiveWorkstations
laptop-exec002,e5d4c3b2a1f0e9d8c7b6a5f4e3d2c1b0a9f8e7d6,d4e5f6a7-b8c9-0123-defa-234567890123,Windows11,10.0.22631.2861,ExecutiveWorkstations
desktop-chi001,90720ad4ef86b972c97ed4e5a09162620fe8cd34,e5f6a7b8-c9d0-1234-efab-345678901234,Windows10,10.0.19045.3803,ProductionWorkstations
desktop-chi002,f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5,f6a7b8c9-d0e1-2345-fabc-456789012345,Windows10,10.0.19045.3803,ProductionWorkstations
laptop-sales001,c3a53da7b2b9ecb5fcaba718d3c495953cb1f067,a7b8c9d0-e1f2-3456-abcd-567890123456,Windows11,10.0.22631.2861,ProductionWorkstations
laptop-sales002,d4b64eb8c3cafdca0dbcb829e4d5a6a64dc20178,b8c9d0e1-f2a3-4567-bcde-678901234567,Windows11,10.0.22631.2861,ProductionWorkstations
srv-web001,29ab93ada81f42bf520a037ed92afbfb92175ccd,c9d0e1f2-a3b4-5678-cdef-789012345678,WindowsServer2022,10.0.20348.2159,WebServers
srv-web002,1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b,d0e1f2a3-b4c5-6789-defa-890123456789,WindowsServer2022,10.0.20348.2159,WebServers
dc-nyc001,4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c,e1f2a3b4-c5d6-7890-efab-901234567890,WindowsServer2022,10.0.20348.2159,DomainControllers
dc-chi001,5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d,f2a3b4c5-d6e7-8901-fabc-012345678901,WindowsServer2022,10.0.20348.2159,DomainControllers
srv-db001,6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e,a3b4c5d6-e7f8-9012-abcd-123456789abc,WindowsServer2022,10.0.20348.2159,DatabaseServers
srv-db002,7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,b4c5d6e7-f8a9-0123-bcde-23456789abcd,WindowsServer2022,10.0.20348.2159,DatabaseServers
dev-wkstn001,8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a,c5d6e7f8-a9b0-1234-cdef-3456789abcde,Windows11,10.0.22631.2861,DevelopmentWorkstations
dev-wkstn002,9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b,d6e7f8a9-b0c1-2345-defa-456789abcdef,Windows11,10.0.22631.2861,DevelopmentWorkstations
