container_id,container_name,pod_name,namespace,pod_ip,image,node,node_id,node_ip,node_mac,uid
a4c8e0200001,payments-app,payments-app-7df86c5d4-01,payments,10.244.1.11,registry.example.test/payments/app:2.4.1,worker-01,ef48dd34-7392-4eea-a6c2-0db179650001,10.20.0.11,02-42-ac-14-00-01,root
a4c8e0200002,payments-app,payments-app-7df86c5d4-02,payments,10.244.2.12,registry.example.test/payments/app:2.4.1,worker-02,ef48dd34-7392-4eea-a6c2-0db179650002,10.20.0.12,02-42-ac-14-00-02,root
a4c8e0200003,payments-app,payments-app-7df86c5d4-03,payments,10.244.3.13,registry.example.test/payments/app:2.4.1,worker-03,ef48dd34-7392-4eea-a6c2-0db179650003,10.20.0.13,02-42-ac-14-00-03,root
a4c8e0200004,payments-app,payments-app-7df86c5d4-04,payments,10.244.4.14,registry.example.test/payments/app:2.4.1,worker-04,ef48dd34-7392-4eea-a6c2-0db179650004,10.20.0.14,02-42-ac-14-00-04,root
a4c8e0200005,payments-app,payments-app-7df86c5d4-05,payments,10.244.5.15,registry.example.test/payments/app:2.4.1,worker-05,ef48dd34-7392-4eea-a6c2-0db179650005,10.20.0.15,02-42-ac-14-00-05,root
a4c8e0200006,payments-app,payments-app-7df86c5d4-06,payments,10.244.1.16,registry.example.test/payments/app:2.4.1,worker-01,ef48dd34-7392-4eea-a6c2-0db179650001,10.20.0.11,02-42-ac-14-00-01,root
a4c8e0200007,payments-app,payments-app-7df86c5d4-07,payments,10.244.2.17,registry.example.test/payments/app:2.4.1,worker-02,ef48dd34-7392-4eea-a6c2-0db179650002,10.20.0.12,02-42-ac-14-00-02,root
a4c8e0200008,payments-app,payments-app-7df86c5d4-08,payments,10.244.3.18,registry.example.test/payments/app:2.4.1,worker-03,ef48dd34-7392-4eea-a6c2-0db179650003,10.20.0.13,02-42-ac-14-00-03,root
a4c8e0200009,payments-app,payments-app-7df86c5d4-09,payments,10.244.4.19,registry.example.test/payments/app:2.4.1,worker-04,ef48dd34-7392-4eea-a6c2-0db179650004,10.20.0.14,02-42-ac-14-00-04,root
a4c8e020000a,payments-app,payments-app-7df86c5d4-10,payments,10.244.5.20,registry.example.test/payments/app:2.4.1,worker-05,ef48dd34-7392-4eea-a6c2-0db179650005,10.20.0.15,02-42-ac-14-00-05,root
a4c8e020000b,orders-app,orders-app-7df86c5d4-01,orders,10.244.1.21,registry.example.test/orders/app:2.4.1,worker-01,ef48dd34-7392-4eea-a6c2-0db179650001,10.20.0.11,02-42-ac-14-00-01,root
a4c8e020000c,orders-app,orders-app-7df86c5d4-02,orders,10.244.2.22,registry.example.test/orders/app:2.4.1,worker-02,ef48dd34-7392-4eea-a6c2-0db179650002,10.20.0.12,02-42-ac-14-00-02,root
a4c8e020000d,orders-app,orders-app-7df86c5d4-03,orders,10.244.3.23,registry.example.test/orders/app:2.4.1,worker-03,ef48dd34-7392-4eea-a6c2-0db179650003,10.20.0.13,02-42-ac-14-00-03,root
a4c8e020000e,orders-app,orders-app-7df86c5d4-04,orders,10.244.4.24,registry.example.test/orders/app:2.4.1,worker-04,ef48dd34-7392-4eea-a6c2-0db179650004,10.20.0.14,02-42-ac-14-00-04,root
a4c8e020000f,orders-app,orders-app-7df86c5d4-05,orders,10.244.5.25,registry.example.test/orders/app:2.4.1,worker-05,ef48dd34-7392-4eea-a6c2-0db179650005,10.20.0.15,02-42-ac-14-00-05,root
a4c8e0200010,orders-app,orders-app-7df86c5d4-06,orders,10.244.1.26,registry.example.test/orders/app:2.4.1,worker-01,ef48dd34-7392-4eea-a6c2-0db179650001,10.20.0.11,02-42-ac-14-00-01,root
a4c8e0200011,orders-app,orders-app-7df86c5d4-07,orders,10.244.2.27,registry.example.test/orders/app:2.4.1,worker-02,ef48dd34-7392-4eea-a6c2-0db179650002,10.20.0.12,02-42-ac-14-00-02,root
