hostname,ip,mac,os,os_version,domain,group,agent_version
DESKTOP-HR01,10.1.10.21,00:50:56:8a:12:34,Windows,10.0.19045,CORP.ACME.COM,Managed devices/Workstations/HR,14.2.0.26967
DESKTOP-FIN02,10.1.10.35,00:50:56:8a:23:45,Windows,10.0.19045,CORP.ACME.COM,Managed devices/Workstations/Finance,14.2.0.26967
DESKTOP-DEV03,10.1.20.14,00:50:56:8a:34:56,Windows,10.0.22631,CORP.ACME.COM,Managed devices/Workstations/Dev,14.2.0.26967
DESKTOP-ENG04,10.1.20.28,00:50:56:8a:45:67,Windows,10.0.22631,CORP.ACME.COM,Managed devices/Workstations/Engineering,14.2.0.26967
DESKTOP-MKT05,10.1.10.42,00:50:56:8a:56:78,Windows,10.0.19045,CORP.ACME.COM,Managed devices/Workstations/Marketing,14.2.0.26967
SRV-DC01,10.1.1.10,00:50:56:8a:67:89,Windows Server,2022,CORP.ACME.COM,Managed devices/Servers/DC,14.2.0.26967
SRV-DC02,10.1.1.11,00:50:56:8a:78:9a,Windows Server,2022,CORP.ACME.COM,Managed devices/Servers/DC,14.2.0.26967
SRV-WEB01,10.1.2.20,00:50:56:8a:89:ab,Windows Server,2022,CORP.ACME.COM,Managed devices/Servers/Web,14.2.0.26967
SRV-DB01,10.1.3.10,00:50:56:8a:9a:bc,Windows Server,2022,CORP.ACME.COM,Managed devices/Servers/DB,14.2.0.26967
SRV-APP01,10.1.4.15,00:50:56:8a:ab:cd,Windows Server,2022,CORP.ACME.COM,Managed devices/Servers/App,14.2.0.26967
SRV-FILE01,10.1.5.10,00:50:56:8a:bc:de,Windows Server,2022,CORP.ACME.COM,Managed devices/Servers/File,14.2.0.26967
SRV-EXCH01,10.1.6.10,00:50:56:8a:cd:ef,Windows Server,2022,CORP.ACME.COM,Managed devices/Servers/Mail,14.2.0.26967
LAPTOP-EXEC01,10.1.30.5,00:50:56:8a:de:f0,Windows,11.0.22631,CORP.ACME.COM,Managed devices/Laptops/Exec,14.2.0.26967
LAPTOP-SALES01,10.1.30.12,00:50:56:8a:ef:01,Windows,11.0.22631,CORP.ACME.COM,Managed devices/Laptops/Sales,14.2.0.26967
DESKTOP-IT06,10.1.20.50,00:50:56:8a:f0:12,Windows,10.0.22631,CORP.ACME.COM,Managed devices/Workstations/IT,14.2.0.26967
DESKTOP-SEC07,10.1.20.55,00:50:56:8a:01:23,Windows,10.0.22631,CORP.ACME.COM,Managed devices/Workstations/Security,14.2.0.26967
SRV-PRINT01,10.1.5.20,00:50:56:8a:12:cd,Windows Server,2019,CORP.ACME.COM,Managed devices/Servers/Print,14.2.0.26967
DESKTOP-OPS08,10.1.10.60,00:50:56:8a:23:de,Windows,10.0.19045,CORP.ACME.COM,Managed devices/Workstations/Ops,14.2.0.26967
SRV-BACKUP01,10.1.7.10,00:50:56:8a:34:ef,Windows Server,2022,CORP.ACME.COM,Managed devices/Servers/Backup,14.2.0.26967
LAPTOP-HR02,10.1.30.18,00:50:56:8a:45:f0,Windows,11.0.22631,CORP.ACME.COM,Managed devices/Laptops/HR,14.2.0.26967
