hostname,ip,mac,os,os_version,domain,segment,role
DESKTOP-HR01,10.1.10.21,00:50:56:8a:12:34,Windows,10.0.19045,CORP.ACME.COM,workstations,workstation
DESKTOP-FIN02,10.1.10.35,00:50:56:8a:23:45,Windows,10.0.19045,CORP.ACME.COM,workstations,workstation
DESKTOP-DEV03,10.1.20.14,00:50:56:8a:34:56,Windows,10.0.22631,CORP.ACME.COM,development,workstation
DESKTOP-ENG04,10.1.20.28,00:50:56:8a:45:67,Windows,10.0.22631,CORP.ACME.COM,development,workstation
DESKTOP-MKT05,10.1.10.42,00:50:56:8a:56:78,Windows,10.0.19045,CORP.ACME.COM,workstations,workstation
SRV-DC01,10.1.1.10,00:50:56:8a:67:89,Windows Server,2022,CORP.ACME.COM,servers,domain_controller
SRV-DC02,10.1.1.11,00:50:56:8a:78:9a,Windows Server,2022,CORP.ACME.COM,servers,domain_controller
SRV-WEB01,10.1.2.20,00:50:56:8a:89:ab,Linux,Ubuntu 22.04,CORP.ACME.COM,dmz,web_server
SRV-DB01,10.1.3.10,00:50:56:8a:9a:bc,Linux,CentOS 8,CORP.ACME.COM,servers,database
SRV-APP01,10.1.4.15,00:50:56:8a:ab:cd,Windows Server,2022,CORP.ACME.COM,servers,application
SRV-MAIL01,10.1.6.10,00:50:56:8a:cd:ef,Windows Server,2022,CORP.ACME.COM,servers,mail_server
LAPTOP-EXEC01,10.1.30.5,00:50:56:8a:de:f0,Windows,11.0.22631,CORP.ACME.COM,management,workstation
LAPTOP-SALES01,10.1.30.12,00:50:56:8a:ef:01,Windows,11.0.22631,CORP.ACME.COM,management,workstation
DESKTOP-IT06,10.1.20.50,00:50:56:8a:f0:12,Windows,10.0.22631,CORP.ACME.COM,development,workstation
LNX-WEB02,10.1.2.31,00:50:56:8a:aa:bb,Linux,Ubuntu 22.04,CORP.ACME.COM,dmz,web_server
LNX-PROXY01,10.1.5.10,00:50:56:8a:bb:cc,Linux,CentOS 8,CORP.ACME.COM,dmz,proxy
